"MVT_ID","Products","Products: category","Date Mvt","Type Mvt","Quantity","Products: uom","Comment"
,,,,,,,
,,,,,,,
,,,,,,,
"PROD_CROI_001","Croissant stock","SFG","12/11/2025 19:22","Production out","-20","Pcs",
"PROD_CROI_002","Croissant stock","SFG","12/11/2025 19:22","Production out","-20","Pcs",
"PROD_CROI_002","Croissant","Classic Viennoiserie","12/11/2025 19:22","Production in","20","Pcs",
"PROD_CROI_003","Croissant stock","SFG","12/11/2025 19:32","Production out","-20","Pcs",
"PROD_CROI_003","Almond Cream","SFG","12/11/2025 19:32","Production out","-175","Gr",
"PROD_CROI_003","Croissant","Classic Viennoiserie","12/11/2025 19:32","Production in","20","Pcs",
"PROD_CROI_003","Almond Slice","SEED","12/11/2025 19:32","Production out","-35","Gr",
"PROD_CROI_003","Croissant stock","SFG","12/11/2025 19:32","Production out","-7","Pcs",
"PROD_CROI_003","Croissant Almond","Classic Viennoiserie","12/11/2025 19:32","Production in","5","Pcs",
"PROD_DANI_001","Croissant Dough","SFG","12/11/2025 19:32","Production out","-270","Gr",
"PROD_DANI_001","Pastry Cream","SFG","12/11/2025 19:32","Production out","-129","Gr",
"PROD_DANI_001","Kismis/Raisins","SEED","12/11/2025 19:32","Production out","-15","Gr",
"PROD_DANI_001","Danish Raisin","Classic Viennoiserie","12/11/2025 19:32","Production in","3","Pcs",
"PROD_MINI_001","Mini Chocolatine Prod","SFG","12/11/2025 19:22","Production out","-15","Pcs",
"PROD_MINI_002","Mini Chocolatine Prod","SFG","12/11/2025 19:32","Production out","-15","Pcs",
"PROD_MINI_002","Mini Chocolatine","Classic Viennoiserie","12/11/2025 19:32","Production in","15","Pcs",
"PROD_SMOK_001","LETTUCE","VEGETABLE","12/12/2025 12:54","Production out","-60","Gr",
"PROD_SMOK_001","RED ONION","VEGETABLE","12/12/2025 12:54","Production out","-45","Gr",
"PROD_SMOK_001","Smoked Mahi""","meat","12/12/2025 12:54","Production out","-150","Gr",
"PROD_SMOK_001","Cream Cheese Sauce","SFG","12/12/2025 12:54","Production out","-105","Gr",
"PROD_SMOK_001","Bagels","Buns","12/12/2025 12:54","Production out","-3","Pcs",
"PROD_SMOK_001","Smoky Fish","Bagel","12/12/2025 12:54","Production in","3","Pcs",
"PROD_VEGE_001","LETTUCE","VEGETABLE","12/12/2025 12:54","Production out","-40","Gr",
"PROD_VEGE_001","TOMATO","VEGETABLE","12/12/2025 12:54","Production out","-40","Gr",
"PROD_VEGE_001","CUCUMBER","VEGETABLE","12/12/2025 12:54","Production out","-50","Gr",
"PROD_VEGE_001","Capsicum Marinated","SFG","12/12/2025 12:54","Production out","-40","Gr",
"PROD_VEGE_001","Aioli Sauce","SFG","12/12/2025 12:54","Production out","-60","Gr",
"PROD_VEGE_001","RED ONION","VEGETABLE","12/12/2025 12:54","Production out","-30","Gr",
"PROD_VEGE_001","Bagels","Buns","12/12/2025 12:54","Production out","-2","Pcs",
"PROD_VEGE_001","Egg","DAIRY","12/12/2025 12:54","Production out","-2","Pcs",
"PROD_VEGE_001","Vegetarian Bagel","Bagel","12/12/2025 12:54","Production in","2","Pcs",
